[workflow] reference=fci  (wavefunction / energy used as truth)
[workflow] cost_engine=statevector  (from --reference)
[workflow] cost_function=NC
[workflow] orbital_rotation=full
orbital_rotation=full: N_free=45, N_sym=45
before optimization: 0.159980
optimize_fcidump: input_path=/workspace/hamiltonians/Fe2S2/fe2s2_10e10o_FCIDUMP, output_path=/workspace/hamiltonians/Fe2S2/seniority_oo/fe2s2_10e10o_FCIDUMP_local_seniority_NC_fci_attempt4_rotated_FCIDUMP, symmetry_op=<class 'list'>, reference_fn=<lambda>, cost=NC, method=L-BFGS-B, maxiter=100
NC before: 1.599804e-01
Fri, 24 Jul 2026 10:54:22 0.159980
Fri, 24 Jul 2026 10:55:24 0.159980
Fri, 24 Jul 2026 10:56:25 0.159980
Fri, 24 Jul 2026 10:57:27 0.159980
Fri, 24 Jul 2026 10:58:28 0.159980
Fri, 24 Jul 2026 10:59:30 0.159980
Fri, 24 Jul 2026 11:00:31 0.159979
Fri, 24 Jul 2026 11:01:33 0.159979
Fri, 24 Jul 2026 11:02:34 0.159979
Fri, 24 Jul 2026 11:03:35 0.159979
Fri, 24 Jul 2026 11:04:36 0.159979
Fri, 24 Jul 2026 11:05:38 0.159979
Fri, 24 Jul 2026 11:06:39 0.159979
Fri, 24 Jul 2026 11:07:40 0.159979
Fri, 24 Jul 2026 11:08:42 0.159978
Fri, 24 Jul 2026 11:10:44 0.159978
Fri, 24 Jul 2026 11:11:46 0.159978
Fri, 24 Jul 2026 11:12:48 0.159978
Fri, 24 Jul 2026 11:13:49 0.159978
Fri, 24 Jul 2026 11:14:50 0.159978
Fri, 24 Jul 2026 11:15:52 0.159978
Fri, 24 Jul 2026 11:16:53 0.159978
Fri, 24 Jul 2026 11:17:54 0.159978
Fri, 24 Jul 2026 11:18:56 0.159978
Fri, 24 Jul 2026 11:21:00 0.159978
Fri, 24 Jul 2026 11:22:02 0.159978
Fri, 24 Jul 2026 11:23:03 0.159978
Fri, 24 Jul 2026 11:25:06 0.159978
Fri, 24 Jul 2026 11:26:08 0.159978
Fri, 24 Jul 2026 11:27:09 0.159978
Fri, 24 Jul 2026 11:28:11 0.159977
Fri, 24 Jul 2026 11:29:12 0.159977
Fri, 24 Jul 2026 11:30:14 0.159977
Fri, 24 Jul 2026 11:31:15 0.159977
Fri, 24 Jul 2026 11:32:16 0.159977
Fri, 24 Jul 2026 11:33:18 0.159977
Fri, 24 Jul 2026 11:34:19 0.159977
Fri, 24 Jul 2026 11:35:20 0.159977
Fri, 24 Jul 2026 11:37:23 0.159977
Fri, 24 Jul 2026 11:38:24 0.159976
Fri, 24 Jul 2026 11:39:26 0.159976
Fri, 24 Jul 2026 11:40:27 0.159976
Fri, 24 Jul 2026 11:41:29 0.159976
Fri, 24 Jul 2026 11:42:30 0.159976
Fri, 24 Jul 2026 11:43:32 0.159976
Fri, 24 Jul 2026 11:44:33 0.159976
Fri, 24 Jul 2026 11:45:35 0.159976
Fri, 24 Jul 2026 11:46:36 0.159976
Fri, 24 Jul 2026 11:47:37 0.159976
Fri, 24 Jul 2026 11:48:39 0.159976
Fri, 24 Jul 2026 11:49:45 0.159976
Fri, 24 Jul 2026 11:50:48 0.159976
Fri, 24 Jul 2026 11:51:49 0.159976
Fri, 24 Jul 2026 11:52:50 0.159976
Fri, 24 Jul 2026 11:54:53 0.159976
Fri, 24 Jul 2026 11:55:55 0.159976
Fri, 24 Jul 2026 11:56:56 0.159976
Fri, 24 Jul 2026 11:57:57 0.159976
Fri, 24 Jul 2026 11:58:59 0.159976
Fri, 24 Jul 2026 12:00:01 0.159976
Fri, 24 Jul 2026 12:01:02 0.159976
Fri, 24 Jul 2026 12:02:04 0.159976
Fri, 24 Jul 2026 12:03:05 0.159976
Fri, 24 Jul 2026 12:04:07 0.159976
Fri, 24 Jul 2026 12:05:08 0.159976
Fri, 24 Jul 2026 12:06:10 0.159976
Fri, 24 Jul 2026 12:08:12 0.159976
Fri, 24 Jul 2026 12:09:14 0.159976
Fri, 24 Jul 2026 12:10:15 0.159976
Fri, 24 Jul 2026 12:11:16 0.159976
Fri, 24 Jul 2026 12:12:17 0.159976
Fri, 24 Jul 2026 12:13:19 0.159976
Fri, 24 Jul 2026 12:14:20 0.159976
Fri, 24 Jul 2026 12:16:24 0.159976
Fri, 24 Jul 2026 12:17:26 0.159976
Fri, 24 Jul 2026 12:18:27 0.159976
Fri, 24 Jul 2026 12:19:29 0.159975
Fri, 24 Jul 2026 12:20:31 0.159975
Fri, 24 Jul 2026 12:21:33 0.159975
Fri, 24 Jul 2026 12:22:34 0.159975
Fri, 24 Jul 2026 12:23:35 0.159975
Fri, 24 Jul 2026 12:24:37 0.159975
Fri, 24 Jul 2026 12:25:39 0.159975
Fri, 24 Jul 2026 12:26:41 0.159975
Fri, 24 Jul 2026 12:27:42 0.159975
Fri, 24 Jul 2026 12:28:44 0.159975
Fri, 24 Jul 2026 12:29:45 0.159975
Fri, 24 Jul 2026 12:30:47 0.159975
Fri, 24 Jul 2026 12:31:48 0.159975
Fri, 24 Jul 2026 12:32:50 0.159975
Fri, 24 Jul 2026 12:33:51 0.159975
Fri, 24 Jul 2026 12:34:52 0.159975
Fri, 24 Jul 2026 12:35:53 0.159975
Fri, 24 Jul 2026 12:36:55 0.159975
Fri, 24 Jul 2026 12:37:56 0.159975
Fri, 24 Jul 2026 12:38:57 0.159975
Fri, 24 Jul 2026 12:39:59 0.159975
Fri, 24 Jul 2026 12:41:00 0.159975
NC after:  1.599749e-01  (CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH)
CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
optimized: 0.159975
