bond,symmetries,orbital,E_dec,K,maxdim,nc_score,highest_sec_state,note,e_fci
"1,1",sen,mo,"-107,586406337474",23,120,"2,47250758408899",19,20_sps,"-107,654122"
"1,1",sen,opt,"-107,588537506179",22,120,"2,41262630127282",19,20_sps,"-107,654122"
"1,1",senquart,mo,"-107,633408711039",8,416,"0,50887944537685",80,100_sps,"-107,654122"
"1,1",senquart,opt,"-107,649124836894",5,416,"0,125914961322545",63,100_sps,"-107,654122"
"1,1",corepop,mo,"-107,623101772017",22,400,"0,436087227306364",152,500_sps,"-107,654122"
"1,1",corepop,opt,"-107,63814",13,400,"0,225153",76,500_sps,"-107,654122"
"1,5",sen,mo,"-107,500357241425",31,120,"2,22902674958348",21,100_sps,"-107,581635"
"1,5",sen,opt,"-107,507066582086",27,120,"2,15817097097848",24,100_sps,"-107,581635"
"1,5",senquart,mo,"-107,55937",15,416,"0,348088546806212",138,500_sps,"-107,581635"
"1,5",senquart,opt,"-107,576609",5,416,"0,0977582433957988",133,500_sps,"-107,581635"
"1,5",corepop,mo,"-107,551035",37,400,"0,281246",265,500_sps,"-107,581635"
"1,5",corepop,opt,"-107,568518",19,400,"0,159399",157,500_sps,"-107,581635"
2,sen,mo,"-107,387675",18,120,"0,56561",18,500_sps,"-107,455156"
2,sen,opt,"-107,394959",12,120,"0,483459",20,500_sps,"-107,455156"
2,senquart,mo,"-107,438878",7,416,"0,16116",86,500_sps,"-107,455156"
2,senquart,opt,"-107,454236",1,416,"0,013842",0,500_sps,"-107,455156"
2,corepop,mo,"-107,437024",14,400,"0,080908",143,500_sps,"-107,455156"
2,corepop,opt,"-107,452235",3,400,"0,034297",33,500_sps,"-107,455156"
