{'molpath': 'hamiltonians/H4_sto-3g_singlet_H4_linear_d2.5560.hdf5', 'initialguesses': 'x0_h4_linear_2.067_perturb_all_0.txt', 'verbose': True, 'reference': 'hf'}
E_FCI V_0 V_optimized Sum_CommSq_0 Sum_CommSq_Optimized a_opt b_opt c_opt
-1.871168059873305589e+00 2.955435133768521960e-01 8.687245519708411412e-02 1.731970342875703839e-01 1.488672306066168632e-03 1.000000000000000000e+00 9.982486385239451865e-01 -1.987780269750367479e+00
-1.871168059873305589e+00 2.854941242892206632e-01 1.589178297329448264e-01 1.641108471450687667e-01 4.075943941494322015e-03 1.000000000000000000e+00 1.000007300432431467e+00 -1.819579500474667544e+00
-1.871168059873305589e+00 3.202357501766315284e-01 8.687740048117009728e-02 2.189784065947243674e-02 1.488672913254487137e-03 1.000000000000000000e+00 1.000482448276583058e+00 -1.990111023095746390e+00
-1.871168059873305589e+00 4.180853627467445155e-01 2.455538219977357606e-01 2.600996355341450572e-01 1.509344725313138897e-03 1.000000000000000000e+00 9.998963446419675272e-01 -1.013483745773249733e+00
-1.871168059873305589e+00 5.209499320731475480e-01 6.426139620085784786e-05 2.498912751058717796e-01 7.305314035508415904e-04 1.000000000000000000e+00 9.998583383741521668e-01 -1.997332941171578558e+00
-1.871168059873305589e+00 5.164093297822173190e-01 2.456816258986039003e-01 1.549463341926195226e-01 1.509345271595608027e-03 1.000000000000000000e+00 9.997513224629331896e-01 -1.013014668848651212e+00
-1.871168059873305589e+00 8.078299918742182228e-01 1.589204734932769258e-01 1.156556935001017139e-01 4.075944937985194472e-03 1.000000000000000000e+00 1.000413243963962584e+00 -1.820041320846563782e+00
-1.871168059873305589e+00 1.498488836937831303e-01 8.687258599737858467e-02 7.090257956978454623e-02 1.488695595735100088e-03 1.000000000000000000e+00 1.001922031134696356e+00 -1.991541972543120265e+00
-1.871168059873305589e+00 9.372904455622694808e-01 1.004026625471567552e-06 4.525980472608568395e-01 7.331261973308288290e-04 1.000000000000000000e+00 1.000007531582189468e+00 -1.997527801920141011e+00
-1.871168059873305589e+00 7.398997597336710863e-02 6.422651087317963439e-05 1.022388411024707511e-01 7.305314285574852646e-04 1.000000000000000000e+00 1.000048323081535351e+00 -1.997531381763181901e+00
-1.871168059873305589e+00 2.823185076427551787e-01 3.910341848242818256e-05 4.894812954614459477e-02 7.312699167002268980e-04 1.000000000000000000e+00 1.000062325376983585e+00 -1.997461928895326144e+00
-1.871168059873305589e+00 3.848176680387140891e-01 2.455762416447181684e-01 2.420208928864728271e-01 1.509345434770249794e-03 1.000000000000000000e+00 9.999995198998115065e-01 -1.013466445711338260e+00
-1.871168059873305589e+00 5.096551564430876757e-01 2.454986703349143207e-01 2.496328538106695472e-01 1.509344780727471524e-03 1.000000000000000000e+00 9.999928108364269930e-01 -1.013703458379979550e+00
-1.871168059873305589e+00 3.351403565067074264e-01 1.587093743920511002e-01 1.292651718017537865e-01 5.675751164673064827e-03 1.000000000000000000e+00 1.000004266449575852e+00 -1.821237237232578243e+00
-1.871168059873305589e+00 2.128824722161535010e-01 1.589170095077399036e-01 1.119596107724191436e-01 4.075944000615651375e-03 1.000000000000000000e+00 9.999750063451544602e-01 -1.819521259473002361e+00
-1.871168059873305589e+00 1.171183483129589337e-01 8.620112493822979923e-06 6.762014102727431641e-01 7.325251369467622366e-04 1.000000000000000000e+00 1.000455111429518151e+00 -1.997948535932346115e+00
-1.871168059873305589e+00 4.687851446487464324e-01 1.589141633405513898e-01 2.125880893511445380e-01 4.075944967735101870e-03 1.000000000000000000e+00 1.000431178253321285e+00 -1.819835640329386717e+00
-1.871168059873305589e+00 5.398323861779181776e-01 8.687304381452343183e-02 3.785709097223510233e-01 1.488671445441572955e-03 1.000000000000000000e+00 1.000060697857045877e+00 -1.989685354035414022e+00
-1.871168059873305589e+00 2.625833657496371987e-01 8.687392727397505454e-02 7.284743036954444140e-02 1.488671450987719396e-03 1.000000000000000000e+00 9.999041154081284022e-01 -1.989545432863526697e+00
