{'molpath': 'hamiltonians/H4_sto-3g_singlet_H4_linear_d4.0220.hdf5', 'initialguesses': 'x0_h4_linear_4.022_perturb_all_0.txt', 'verbose': False, 'reference': 'hf'}
-7.998867202810413524e-01 -6.221996112748826580e-01 5.151733127218067754e-01 -5.153532288202996581e-01 -6.223387337610776227e-01 2.370802532403024188e+00 1.497616233502435668e+00 -8.772493437232021796e-01
-1.715678965123045019e-02 -3.158991458064707825e+00 2.356324094205860753e+00 2.355695808276124570e+00 -1.710776805000635906e-02 1.716689537765913806e-02 2.521278343030716851e+00 7.854286210614583874e-01
2.219692381656330913e-05 -7.997420689559409102e-01 -4.473483421154787146e-06 -2.693006804872364652e-05 7.702467660419488604e-01 -7.853648769648288175e-01 2.517560246103591748e+00 7.852912112926040411e-01
5.620806840290112883e-06 7.702350097339442092e-01 1.933500424667679193e-05 -9.485342312661029229e-01 5.151805660043794477e-01 9.689672310395380794e-01 2.514929367869635168e+00 7.853676987224625927e-01
-1.516534634859193764e-01 1.568701187323616519e+00 -7.857046957221606176e-01 2.205101485705992292e+00 1.292879072057674140e-02 -7.862334205220387062e-01 2.525917297044243615e+00 7.865341484126265881e-01
7.999396945777590417e-01 -6.222952003214677896e-01 -5.151660475759000102e-01 5.150931900013812070e-01 -6.222696655752110173e-01 7.709654183697037810e-01 3.842885181884438506e+00 -2.284500744101306324e+00
-8.003247928890422358e-01 -6.226430369751272398e-01 5.151967721972322556e-01 -1.029753118913606880e+00 2.954862193101643448e-05 -6.018027505564084167e-01 3.768187567067533550e+00 3.926973254718578943e+00
-1.710013063590816798e-02 -1.735149607336277169e-02 7.852537810373234617e-01 -7.852464270913447342e-01 -1.709968946992797278e-02 1.709021794856304191e-02 2.521284290939044936e+00 7.854491739576342502e-01
-1.570821060670044123e+00 -7.864339972127381024e-06 7.701073741945309026e-01 1.570953963987479662e+00 -1.570804180482792800e+00 -7.709033086453914718e-01 2.516499170172627586e+00 7.853055831050260727e-01
7.719037617253714512e-01 -2.532627821651836086e+00 -5.314000689552148549e-01 -1.547935260828350534e+00 6.093903885814169197e-01 1.324901389323187607e-02 3.757585900000006696e+00 3.964255597460422553e+00
7.708563097392510111e-01 6.085578336360299989e-01 5.319049985728082630e-01 -1.595821497274023226e+00 -6.085333939768657885e-01 7.999057788695312921e-01 2.527498520691567663e+00 4.394985565360723379e-01
1.721233102941709461e-02 -1.721233582605620482e-02 -7.852119419097538522e-01 -7.689836503925105982e-01 7.707829326996424868e-01 2.378753547032683505e-02 2.521278912135426431e+00 7.852974856477263899e-01
-7.709048829657160207e-01 6.085381880262796805e-01 -5.318699762426389865e-01 -5.069286027803396877e-01 -6.291737026081092310e-01 -7.853907240864574923e-01 2.406175034291052839e+00 8.111794573785399143e-01
-2.162719263277455450e+00 -1.571271510364280477e+00 -7.857850998054154434e-01 1.377915597325144237e+00 -1.449818078686605088e-02 -7.853715732471054922e-01 2.525913803704437743e+00 7.842514320930796812e-01
-1.718443761422637148e-02 -1.723618731625956371e-02 -2.356477573026107830e+00 7.690406579108582941e-01 -7.708026739969224828e-01 2.383033826190694010e-02 2.521241476466558495e+00 7.853897640817016912e-01
7.708988463878074793e-01 6.085133976798620115e-01 5.319169777435220903e-01 -5.319737190860105436e-01 6.085800771634986006e-01 -7.709440500099137283e-01 2.339453008091664010e+00 8.688269427847690185e-01
-7.998260146720568287e-01 -6.223672382765924604e-01 5.153057863942046568e-01 -4.857425293547764644e-01 9.482742188480731693e-01 1.594695698712593090e+00 2.521235008064581784e+00 7.854114132409385496e-01
7.999100619818693136e-01 -6.222885941961612266e-01 -5.151952116212763499e-01 5.151020186866560602e-01 -6.222597442384978361e-01 7.709436644945502071e-01 3.905425889158844477e+00 -1.935721520574773979e+00
-7.709878591535627157e-01 6.085752424275244765e-01 -5.319832470466454577e-01 2.112643626456184087e+00 -3.127560403218965224e+00 9.620128526686069215e-01 2.521245594215761443e+00 7.854673396743194758e-01
-3.676075107615230930e-01 1.570978261765216377e+00 -7.853969273248894156e-01 1.504722143019208147e+00 1.570135125955047561e+00 -4.838478666434988251e-01 2.525933970615496182e+00 7.855680645967919595e-01
5.834302695330040311e-01 1.556086378530739722e+00 -7.852195330741361667e-01 1.380556869690769295e+00 -7.955002808207867204e-01 -1.617351194959277746e-02 2.522849601380271700e+00 6.712402769332705965e-01
7.708497457918683793e-01 6.085292879812584932e-01 -2.609686497894950996e+00 -5.319770028657049288e-01 2.533056634145103292e+00 -7.709185439174884857e-01 3.809113818343956570e+00 4.363051991418732456e+00
5.999027039661938288e-01 -1.564816191422605307e+00 7.852178671928720100e-01 -1.385137881235662505e+00 3.145748351961075606e+00 1.332484494912136545e-02 3.757256629593639818e+00 -2.356488221352373014e+00
7.718339168215894164e-01 6.089810041567592647e-01 5.314073287481716479e-01 1.547832971607746577e+00 6.093448246136300428e-01 -1.331508628361804426e-02 2.525923605654750048e+00 7.864433526904416327e-01
-7.998829943772458595e-01 -6.222267578692783907e-01 5.152070590833585095e-01 5.404050260208453915e-01 6.018976035590004603e-01 7.853951625422255223e-01 -1.632055518045229248e-01 1.982915727301798769e+00
-7.998792814173676380e-01 -6.222190886396170573e-01 5.152132754902671863e-01 1.595989846888301145e+00 -6.222244492996626963e-01 7.709375553988967456e-01 4.279901254684655987e-01 2.838810782829633284e-01
-2.341346343554532083e+00 -2.518895816359449036e+00 -5.151771627794625719e-01 -5.410446851961043802e-01 -2.172642360076906698e+00 -4.712364453793739472e+00 2.514924914628713815e+00 7.854140689599242720e-01
-7.708970911778669777e-01 6.085407849032727912e-01 -5.319238171741346166e-01 -5.069241518080069842e-01 -6.292013641279236014e-01 -2.356192567478829769e+00 2.181376359340454485e+00 -2.660238237594722555e-01
1.553453543243885626e+00 7.852741905060705019e-01 1.210481114991716727e-02 2.160296500131686948e+00 5.153423444943292520e-01 9.483668628649065679e-01 3.761940438404385301e+00 3.926973308018153919e+00
7.856440016924414182e-01 -9.424814582839008067e-03 9.405269803158483252e-03 -6.216715836304059772e-01 5.160876397207827537e-01 -9.488477197921241224e-01 2.525917642158483467e+00 7.853817243698182349e-01
