{'molpath': 'hamiltonians/H4_sto-3g_singlet_H4_linear_d4.0220.hdf5', 'initialguesses': 'x0_h4_linear_4.022_perturb_all_0.txt', 'verbose': False, 'reference': 'fci'}
-1.266876015045124593e+00 -1.583180775183956612e+00 -7.857112710383559184e-01 4.815069838089661713e-01 -1.619461717214162530e-02 2.363927593468602151e+00 2.526086290522875366e+00 7.852380032027480583e-01
-1.460436758602188037e-02 -3.156248764825538178e+00 2.356295990146579200e+00 2.355879627498975282e+00 -1.460010758498566166e-02 1.460439576700305400e-02 2.526075152237790444e+00 7.854002760688812979e-01
-3.389553141511411974e-03 -6.644245686182054765e-03 7.854105608387247361e-01 -1.350911008840895766e+00 1.566076291969038081e+00 -2.136348312838000751e+00 2.525939580586190392e+00 7.854059058381207548e-01
1.095154772830822217e-05 7.707393398144943841e-01 -1.581203595294531963e-05 -9.485143169139205188e-01 5.151339889162594998e-01 9.690277814515508847e-01 2.526107236348677176e+00 7.853025939629295626e-01
-1.800736031036383467e-01 1.566081593694173213e+00 -7.858200854705128524e-01 2.176320118257398573e+00 7.255060437816726257e-03 -7.872587685807088675e-01 2.526075537966629980e+00 7.851937599353179253e-01
1.459994839763278929e-02 -1.463702547533669504e-02 -7.852988462506585998e-01 7.852815861407844711e-01 -1.459819125435497453e-02 7.707823002652602895e-01 3.757124956462492449e+00 -2.356187602173692497e+00
-8.000410674660213273e-01 -6.223216414808560026e-01 5.151166492291441301e-01 -5.150811744236492018e-01 -6.222835779445278215e-01 -7.707676595239231210e-01 4.104934010893686924e+00 3.357334186220099159e+00
-1.459223881423285345e-02 -1.466981226053239509e-02 7.852871020391205548e-01 -7.852854073267592216e-01 -1.460204873853297378e-02 1.457615698751024008e-02 2.526063888894113596e+00 7.853865204502208375e-01
-1.570796405835862330e+00 -1.158793765661771980e-06 7.707700612275054652e-01 1.652476296712238391e+00 -1.570796080468959355e+00 -8.523998068784769400e-01 2.526109691452360195e+00 7.855965846163550648e-01
7.707875923858529266e-01 -2.533127856984176862e+00 -5.319813175441145958e-01 -1.571118178170596291e+00 2.179447793260465893e+00 -2.096943773485803256e-02 3.757072784984361480e+00 3.926978305493418198e+00
7.707615977123309925e-01 6.084641680971101252e-01 5.319945094899691806e-01 -1.596030717657220377e+00 -6.084953265854742277e-01 8.000177912418701132e-01 2.355681343323632326e+00 1.950465922409987396e-01
-1.570794918731435619e+00 -6.779794215922853149e-06 -8.000338334635344051e-01 8.000792533015282926e-01 2.356188072649322951e+00 1.570793295530730660e+00 2.526098385650541900e+00 7.853936719025041979e-01
-7.707191729734190755e-01 6.084519697378372172e-01 -5.320155438222384792e-01 -5.067613174342932014e-01 -6.293294299195444363e-01 -7.853828621512565222e-01 2.413222079486919025e+00 7.371466847048900872e-01
-1.570793029965559029e+00 -3.030060497754053471e-06 -8.000284652691588283e-01 8.000673981463169993e-01 7.853971968946920068e-01 -1.570807432446095664e+00 2.526100330834247121e+00 7.853838591364049604e-01
7.707828609786396834e-01 6.084751205615495095e-01 -2.609601607648294852e+00 1.545602606739934659e+00 -6.085022971539587600e-01 -7.708116098883975864e-01 2.564503664933493354e+00 -6.982572613165086706e-01
5.930797723964627011e-01 1.569529470136540095e+00 7.858835324612818418e-01 -1.840830706143097850e-01 7.852286786132842700e-01 1.201141311550315768e-02 2.526061023811202233e+00 7.854409488312271703e-01
-7.999936550660291523e-01 -6.223052714828963827e-01 5.151094617737830283e-01 -4.900391856745970331e-01 9.483585924831802183e-01 1.591155063636553901e+00 2.526043305184637600e+00 7.852848892212205278e-01
8.000519254589508744e-01 -6.223276094305510986e-01 -5.151096765254861154e-01 1.545293500757449090e+00 6.222931934571580559e-01 7.707701928840907657e-01 3.367483302783528032e+00 -1.112568030962046262e+00
8.003049921900687869e-01 -6.223961617928337464e-01 -5.149745360089271751e-01 1.544918450508734775e+00 -2.519235005606701439e+00 -7.705503711783316945e-01 2.027444504515054646e+00 7.625169628111413411e-01
-2.382336864985086233e+00 1.589764533728537543e+00 -7.853197757176603178e-01 6.770756132621121859e-01 1.590835844894650464e+00 7.032957938953428023e-01 2.526114343596010503e+00 7.857698122844466448e-01
6.658990782129733388e-01 1.550848776124584605e+00 -7.852900101249823406e-01 1.464137855868263172e+00 -7.992953405599044769e-01 -1.819376954885433204e-02 2.526099042660220118e+00 7.855637119876748287e-01
7.707087004510277950e-01 6.084509716797620316e-01 -2.609571933998611648e+00 -5.320649230470750890e-01 2.533113113714142717e+00 -7.707618010043110202e-01 3.695114228777875542e+00 3.998046916260742378e+00
7.707393197339362789e-01 -2.533082271101765315e+00 -5.319907639795599108e-01 -1.571095966188863935e+00 2.179454701095159042e+00 -2.099110687310911175e-02 3.757076804326193731e+00 -2.356306653668174711e+00
7.707671720577207175e-01 6.084753192004694888e-01 5.319808734695817831e-01 1.545570313823871667e+00 6.085027774964772984e-01 -1.461189169898766994e-02 2.526105120786457991e+00 7.854427746594695448e-01
-8.000011501468201613e-01 -6.223362704397649159e-01 5.151037708840482399e-01 5.406187140887777076e-01 6.017290479414028059e-01 7.854330029256689771e-01 1.208548171431561742e-02 2.272740992780875491e+00
-3.051962319640941335e+00 -1.562487436846467626e+00 7.856853646263627367e-01 -8.679907059760452182e-01 -7.808950834170138577e-01 -1.580977371428597511e+00 -2.526077844797222305e+00 -2.357006088929852083e+00
-4.735537434226515963e+00 -7.861231656289909608e+00 7.858724412296563822e-01 -2.347548945585396396e+00 -7.889740916406766669e-01 -1.097536543798444519e+01 5.667657925731330870e+00 -5.497985546083976161e+00
-7.707642855329732701e-01 6.085229052253989801e-01 -5.319532221807002914e-01 -5.068011011339638161e-01 -6.293331790546637938e-01 -1.570779282420246448e+00 2.526119924330136435e+00 7.853888134407224220e-01
2.341543663336070669e+00 6.223273304374240533e-01 -5.151127117643276021e-01 1.545296253945038112e+00 -6.222895487875218512e-01 8.000254772711169471e-01 3.917607090924640101e+00 4.121383784481277068e+00
7.854107129384440000e-01 -1.034123837734608753e-02 1.034068662163000613e-02 -1.036517055003152374e-02 -1.031820724260292151e-02 -7.854033933737573081e-01 2.526107928325542318e+00 7.854201489285730364e-01
