V_fci V_hf C_fci C_hf b c
2.086865280659872673e-02 8.341028342358923486e-02 1.942021003564097957e-05 1.692869869719062126e-04 9.996797309022220634e-01 -1.999566693891432489e+00
4.167544923149507641e-02 1.666577608710860525e-01 5.676467068909729650e-06 1.046900756078623668e-03 1.000004225351792897e+00 -1.999843892818015334e+00
4.164453021668779176e-02 1.666258469004469056e-01 2.215694023182705009e-05 1.080545232657561866e-03 1.000015485001236826e+00 -1.999280137073562225e+00
8.333826912313800628e-02 1.666652631452222866e-01 3.808948074140575043e-06 9.663483094496045159e-04 9.998088793956687592e-01 -1.999784671623683785e+00
2.088465500865050589e-02 8.336842931419771729e-02 3.303661392826160814e-05 1.708858991483449869e-04 9.995912766145219619e-01 -1.999432654950134891e+00
2.084439352165551318e-02 1.666542740288489699e-01 5.776424574553818802e-06 5.262967808737226616e-04 1.000013776132195442e+00 -1.999790652935583779e+00
3.922454804960426866e-01 3.604195467519558660e-01 4.641332282165014654e-06 5.326722989294281724e-06 2.191522337308169366e-01 -7.116345011300470036e-01
4.167478577286251595e-02 1.666551075050247410e-01 5.676565120376567655e-06 1.046887091184508980e-03 9.999767143766572497e-01 -1.999768604284156037e+00
1.666659129485273116e-01 1.666657900712933960e-01 2.984271908864161343e-06 1.927736293731209917e-03 1.000396921200610967e+00 -2.000383154611584224e+00
2.084072656330081263e-02 8.347610284009529535e-02 3.357302330715805317e-06 1.636384804598651924e-04 9.999749773254232865e-01 -1.999973184038660312e+00
3.101850749536402274e-01 2.877031534003822166e-01 4.783742147073254095e-06 5.778827454038263345e-06 1.975582163299425265e-01 -1.018282248358444608e+00
8.333722144588009972e-02 1.666631737820601922e-01 3.808407217731213960e-06 9.663331152880776879e-04 9.999910170504586748e-01 -1.999929248873409504e+00
2.074265750349441051e-03 1.590790949648515917e-01 5.242637712452628154e-06 4.895478697210773228e-06 9.078708984127417114e-01 -1.514192267936737224e+00
8.333745079992960214e-02 1.666636323491233751e-01 3.808431712209622106e-06 9.663363791493205946e-04 9.999713918871291352e-01 -1.999917876780975101e+00
5.908354390113581545e-01 7.681401990270205760e-01 1.189515224624648896e-05 1.189240655891587398e-05 -8.393136199210932125e-01 -2.005396544670387637e+00
2.088779024625162656e-02 8.335701352450025636e-02 3.708100728473719154e-05 1.707791200772086735e-04 1.000085574528953192e+00 -1.999865300502063237e+00
2.084390037816877261e-02 1.666502635714430802e-01 5.777584336828892357e-06 5.262761281171254163e-04 9.997734773057472824e-01 -1.999478096316574360e+00
9.000220443739434528e-02 6.633357321545030327e-01 1.515860180876890666e-05 1.252928968242939922e-05 -2.027393744576933887e+00 9.836711573086136084e+00
8.621204799172388356e-04 3.918480208291857392e-01 7.763986186127713282e-06 4.772216937902066107e-06 9.552536400173344822e-01 -6.794098572136536562e-01
4.166818801646555992e-02 2.828530497379350812e-04 1.457288398625255641e-06 3.216125736462979810e-04 1.000743574156739424e+00 -2.000749648631632738e+00
2.084337639860893085e-02 8.346768307689242383e-02 4.833179208627491871e-06 1.643373230922609758e-04 1.000331152005225821e+00 -2.000272188518577021e+00
2.801451997284987172e-03 1.882602212547033749e-01 6.486275737561500283e-06 6.309073778134404475e-06 1.153260300015633177e+00 -2.470118165634771934e+00
2.084061426857026361e-02 8.347559103064369768e-02 3.358164584042010029e-06 1.636355610681054155e-04 9.997756982058685349e-01 -1.999756866926965859e+00
2.084050877522953746e-02 8.347506747371591374e-02 3.357148198023715801e-06 1.636331797215685160e-04 1.000089226504608630e+00 -2.000056032396420491e+00
3.327600309169099070e-04 7.514610598523288054e-01 1.765470669575551100e-05 1.374090312217849283e-05 -1.182566863109210109e+00 -1.281390578657758965e+02
2.087843763728145299e-02 8.338581420881467643e-02 2.692226048460298745e-05 1.705312115093451648e-04 9.983781184858678825e-01 -1.998229987537617713e+00
2.088032557156530369e-02 8.337875016229351344e-02 2.887809301635186064e-05 1.707068776768345725e-04 9.996032741024497570e-01 -1.999401108740054944e+00
8.334276411252519723e-02 1.666682512679737993e-01 5.052278512050721051e-06 9.671128275365156648e-04 9.999813002613895385e-01 -2.000010911496162613e+00
3.662625619793796750e-02 1.789878809064944232e-01 5.106718178761161845e-06 4.771715541263756670e-06 1.490285299576839417e+00 -1.828702629913363298e+00
4.166697158416400593e-02 2.849717739734410754e-04 8.380654231399388490e-07 3.215533226806498081e-04 1.000043972029004857e+00 -2.000022688590195052e+00
