V_fci V_hf C_fci C_hf b c
2.374495384897352263e-02 8.959895194565861698e-02 1.117851132032446175e-03 1.541395954043036504e-03 9.999969212268668972e-01 -1.991830973588361475e+00
2.502332149295646846e-02 1.613099770766407148e-01 1.918711787167300554e-03 4.277699030959307425e-03 9.999664343007864664e-01 -1.888901343119419929e+00
2.374492109066506790e-02 8.960053568132284041e-02 1.117850875709706449e-03 1.541482709005921516e-03 9.998386252110184058e-01 -1.991648487862552663e+00
1.982570575186924255e+00 9.999992651522552345e-01 5.618774134078421533e-04 3.212761208070912672e-03 -1.000228916601646478e+00 8.290322195726112597e-05
1.982570874909348246e+00 9.999990699041190201e-01 5.618778277630318528e-04 3.212775542086332599e-03 -9.999347174133865757e-01 -2.740115362806625128e-04
1.982570461913121251e+00 9.999993196396037565e-01 5.618784233326479379e-04 3.212762938409574089e-03 -1.000208447933102374e+00 -2.407821764924732643e-04
4.517117381882246319e-02 1.634110974184596055e-01 1.953181452250178293e-03 6.636167891093601792e-03 1.000023780830943787e+00 -1.936871819583746435e+00
2.374506479444422891e-02 8.960081150703536057e-02 1.117851059079233260e-03 1.541462957540337773e-03 1.000026840644508974e+00 -1.991866031653773517e+00
4.184463786951289621e-02 1.285503396800222707e-02 3.026018976313743936e-04 1.038349150868093235e-03 9.994732510166773887e-01 -1.997688745783204212e+00
2.374512145212023112e-02 8.960041886030176150e-02 1.117850819806301497e-03 1.541439737991416809e-03 1.000201405907849450e+00 -1.992048254790580897e+00
2.374542629064296112e-02 8.960328793085520216e-02 1.117851553152201562e-03 1.541525006512756233e-03 9.996904423825723196e-01 -1.991566961848552086e+00
8.508404408085051829e-02 1.654625616360448637e-01 1.313748381681023158e-03 5.350677157035423591e-03 1.000029860664122472e+00 -1.981176734664617634e+00
1.982568300608915646e+00 9.999996935885139271e-01 5.618815501724117208e-04 3.212719165069221477e-03 -9.989202653478224114e-01 -1.695644840571227860e-04
8.634872835603349395e-02 1.656243692969246450e-01 1.739536945382379012e-03 5.856522534475416472e-03 1.000023626537292154e+00 -1.983794063007278341e+00
2.374513671802823411e-02 8.960090411245300035e-02 1.117850831600429237e-03 1.541458331326104247e-03 9.999896838613894223e-01 -1.991835584224076028e+00
2.502511436749579876e-02 1.613192010622687689e-01 1.918711838811363712e-03 4.278213701194893276e-03 9.998901574406998671e-01 -1.889058459319348016e+00
2.502431657387749198e-02 1.613149753776436102e-01 1.918711605127723782e-03 4.278115763351567589e-03 1.000021483661849286e+00 -1.889077556460137197e+00
2.374505147939728888e-02 8.960044301721810378e-02 1.117850793663814450e-03 1.541455669620341766e-03 9.999689930769298796e-01 -1.991802568759690750e+00
2.374507853029450902e-02 8.960170916411515363e-02 1.117851099843491115e-03 1.541494336400063211e-03 9.997559672581901591e-01 -1.991593006610780536e+00
1.982569987942752743e+00 9.999992129901125182e-01 5.618785751837711935e-04 3.212753602013221875e-03 -1.000996934074642297e+00 2.055454049643120414e-04
1.982569813661702041e+00 9.999990328385683913e-01 5.618779192781969819e-04 3.212791929130506471e-03 -9.993650791554501422e-01 -6.774948610247324716e-04
4.184533431982118135e-02 1.286752348415808565e-02 3.025998762380675854e-04 1.038714669785114350e-03 9.998257859712152973e-01 -1.998054740569169541e+00
8.508483063944935476e-02 1.654640966657915380e-01 1.313748376430722313e-03 5.350736978619746037e-03 1.000036309777814436e+00 -1.981211773757690864e+00
2.374505047868977203e-02 8.960371698381451588e-02 1.117851183802216937e-03 1.541596548813811349e-03 9.997521511654169357e-01 -1.991558979371354399e+00
2.374507639877544707e-02 8.960131169682081231e-02 1.117850841242893365e-03 1.541485733817692799e-03 9.999640429214801118e-01 -1.991795450458641481e+00
8.635192076243816683e-02 1.656301631191839374e-01 1.739537208079599325e-03 5.856698453760312770e-03 9.999513207884470622e-01 -1.983832708405665501e+00
1.982570151866273500e+00 9.999991198705351358e-01 5.618782486325167320e-04 3.212744890107066195e-03 -1.000333584206189563e+00 6.529509057529882515e-04
1.982570541022762312e+00 9.999992972942420844e-01 5.618773508315466625e-04 3.212769118411258531e-03 -1.000021795774614919e+00 -2.428928980621284178e-05
8.508410974049590569e-02 1.654626994382898952e-01 1.313748400249612315e-03 5.350689680806398722e-03 1.000036262657333586e+00 -1.981185428005010962e+00
4.184504825801450140e-02 1.286256655769144053e-02 3.025998260229906972e-04 1.038569999771941921e-03 9.998466410526889447e-01 -1.998069575948480114e+00
