V_fci V_hf C_fci C_hf b c
4.148391122570368322e-02 9.906324090411502276e-03 4.514060775417058657e-04 1.056957341732807278e-03 1.000010772649253754e+00 -1.954296313063425439e+00
4.148391277878378525e-02 9.904741225784323422e-03 4.514033213861541952e-04 1.056852584979748938e-03 1.000291757622948197e+00 -1.954584245729880543e+00
4.148391186215460297e-02 9.908730583669866920e-03 4.511878653218697431e-04 1.056883839918673455e-03 9.999528578302003812e-01 -1.954268331457276631e+00
5.051765873410968277e-03 1.675040387301555689e-01 1.708893476963990179e-03 1.645839159166257934e-03 9.999927794856446894e-01 -1.418656638882221044e+00
4.148391098030421165e-02 9.905454421989019417e-03 4.515068342136642487e-04 1.057005872042158720e-03 1.000013852259797664e+00 -1.954283900176225997e+00
5.051765873634039838e-03 1.674991286074908325e-01 1.708910187947724124e-03 1.645873295272469623e-03 9.999979463560838555e-01 -1.418717043004867007e+00
5.051765878425817924e-03 1.674997096157501697e-01 1.708904162619005306e-03 1.645871383399764984e-03 9.999977110905078348e-01 -1.418710168537460570e+00
2.355938074033786869e-02 8.711588485171087304e-02 1.192930651769112671e-03 1.551037569600559329e-03 1.000010623735420490e+00 -1.948301370700237012e+00
2.355938147193797211e-02 8.711475316231870325e-02 1.192911624934677199e-03 1.550855381790571452e-03 1.000006653143068469e+00 -1.948353645415828117e+00
4.148391184997131387e-02 9.917756179482878007e-03 4.510665052842417148e-04 1.057330990623282178e-03 9.999393335811451733e-01 -1.954208411530280687e+00
2.355938080392838349e-02 8.711762636529138404e-02 1.192827713222797265e-03 1.551041560475134150e-03 9.999983656459460191e-01 -1.948296404167643381e+00
4.148391232375093357e-02 9.917676380422587798e-03 4.512670778218762636e-04 1.057532475066225424e-03 9.999697034175074606e-01 -1.954194006541014161e+00
2.355938058233377624e-02 8.711794665818660410e-02 1.192858286779362176e-03 1.551099110509024685e-03 1.000004030058956106e+00 -1.948288149645067913e+00
2.355938061208079706e-02 8.711712242053032407e-02 1.192886420659985134e-03 1.551079019435261039e-03 1.000010865113992287e+00 -1.948297003922825787e+00
8.161597767650805024e-02 1.008579190205243815e-02 1.147734734293460596e-01 2.823639594154500262e-02 9.999952419044423335e-01 -1.933689712911341063e+00
4.148391086485426343e-02 9.907760902845862139e-03 4.514497176573224919e-04 1.057093559923837599e-03 9.999949634558427114e-01 -1.954259304149897014e+00
2.355938739138421084e-02 8.711552728251384381e-02 1.192970207076839194e-03 1.551081726886317791e-03 9.999947181491628534e-01 -1.948264867807389056e+00
4.148391118018926460e-02 9.911063276692238036e-03 4.513915002472067652e-04 1.057242198741644140e-03 1.000126584741765301e+00 -1.954373629273398638e+00
4.148391104568952686e-02 9.912018163140089849e-03 4.511983399541045657e-04 1.057104018270131184e-03 1.000012996093028184e+00 -1.954297974013910366e+00
5.051765984949135868e-03 1.674906746851227424e-01 1.708919234969464391e-03 1.645932728633964920e-03 9.999925916185952168e-01 -1.418810982120810582e+00
5.051765830605181584e-03 1.674977710851546786e-01 1.708907387144710348e-03 1.645884399289028943e-03 9.999980696454070506e-01 -1.418732827928678386e+00
4.148391287004186967e-02 9.901726163645643494e-03 4.516066620706917401e-04 1.056872452801650274e-03 1.000325578494213996e+00 -1.954597268567286106e+00
5.051765821362907971e-03 1.674971004480924619e-01 1.708911584614487486e-03 1.645888893079372473e-03 1.000000301213407328e+00 -1.418742160873168512e+00
2.355938057655736911e-02 8.711755359286293965e-02 1.192874213914138157e-03 1.551100637963180465e-03 1.000006873024660292e+00 -1.948287398024963535e+00
2.355938059345209779e-02 8.711740775060608510e-02 1.192882319600689807e-03 1.551111889629643373e-03 1.000005016285600234e+00 -1.948279265735808785e+00
4.148391080253325397e-02 9.908419216722934644e-03 4.514072341475782488e-04 1.057091420691827098e-03 1.000003607567038211e+00 -1.954271769178528517e+00
4.148391215196194776e-02 9.912582132270426893e-03 4.512592681298904936e-04 1.057202340969961175e-03 1.000178993783479520e+00 -1.954442177126556102e+00
5.051765832886523366e-03 1.674988824290818967e-01 1.708909191412561791e-03 1.645877757415984983e-03 9.999999613336961746e-01 -1.418721324813922324e+00
2.355938061040004083e-02 8.711767366065753526e-02 1.192869510802796375e-03 1.551088887172597051e-03 1.000001362748224709e+00 -1.948288366479675293e+00
4.148391082227168014e-02 9.908981637386982469e-03 4.513915677385202472e-04 1.057111004430853589e-03 9.999764192279549935e-01 -1.954244112253933352e+00
