V_fci V_hf C_fci C_hf b c
1.972530493998914558e+00 9.892048242599884578e-01 1.656723628782146736e-06 9.369608658804395748e-06 -1.202910917909851829e+00 1.146794771226014864e-01
4.139588473431843330e-02 1.655602701636036123e-01 8.621652660525173749e-06 1.042098015677456928e-03 1.000060917183434039e+00 -1.979687949182558082e+00
8.238603150777931705e-02 1.647544054238522793e-01 3.445089464788857875e-05 9.609292702151940938e-04 9.997861186645549125e-01 -1.963936719159154576e+00
8.210969197304165967e-02 1.642079371701385404e-01 4.262166829173495692e-05 9.583773698521510240e-04 9.999390725061461094e-01 -1.953229430594436655e+00
2.089080585632580381e-02 8.337805935224529286e-02 3.797396761347674008e-05 1.694472698389857970e-04 1.002274554869012846e+00 -2.001445068470622868e+00
4.284941986974710737e-03 1.587369109020231317e-01 5.338799349821394632e-06 5.069723226770716238e-06 1.154747116609036395e+00 -1.808833505865577340e+00
8.211666548870791282e-02 1.642218893486847298e-01 4.214776675890219491e-05 9.583778227291513564e-04 9.999648760795269986e-01 -1.953535803605936483e+00
4.139625334855456806e-02 1.655615911705296539e-01 8.600108917084563629e-06 1.042097528678043259e-03 1.000102026324880322e+00 -1.979753536568623851e+00
1.645317500843697101e-01 1.645314948764819429e-01 6.873019198925672823e-05 1.913996049037119257e-03 9.998148565552608114e-01 -1.959576684685089054e+00
2.132056334903267153e-02 8.362239390152531593e-02 8.091979563208761718e-06 1.636138756585361670e-04 1.077451633826015609e+00 -2.076631850774094623e+00
7.634598967924929869e-02 2.064432460212978770e-01 5.973950471936679006e-06 6.107804789275173582e-06 4.701680912664644163e-01 -1.567329392185918824e+00
2.070504755952484732e-02 1.655603995810842055e-01 7.223469709393508299e-06 5.238801938576847931e-04 9.997986647698537954e-01 -1.979430758874413110e+00
6.108375040049796034e-04 1.591825355887078186e-01 5.228072459800976499e-06 4.846326129944877005e-06 1.052939157580268459e+00 -1.605056989275885915e+00
2.089623807935414579e-02 8.337695062333144724e-02 4.156532234476111216e-05 1.698384344345035986e-04 9.977091633612050758e-01 -1.996866797011623840e+00
2.070399174808479348e-02 1.655520876686909504e-01 7.251583519275008928e-06 5.238767457630983532e-04 9.999832015096024040e-01 -1.979456735453653193e+00
7.189002265305721728e-03 1.749321955655427363e-01 5.158398705048033004e-06 4.552896048881381956e-06 1.182507579541492992e+00 -1.497648025240957192e+00
2.070378552640061987e-02 1.655506524977765348e-01 7.259877422883719838e-06 5.238770694608991217e-04 1.000026500038103228e+00 -1.979472520096446919e+00
1.594451639489033457e-01 2.246957962560467426e-01 4.983711999200913080e-06 5.301961604339236132e-06 2.617552093968166016e+00 -2.925602844815732517e+00
2.070410864440003218e-02 1.655530029521832258e-01 7.251604674108437123e-06 5.238768178569522434e-04 1.000138362125339686e+00 -1.979627541853145267e+00
4.175183470945979802e-02 4.265840123048145939e-07 8.612043132107864794e-05 3.172165288291467532e-04 1.000339860144603632e+00 -1.999580628476048894e+00
2.541121003151591146e-02 8.522905304759104128e-02 4.906811358332020405e-05 1.664108044636464689e-04 7.942749188120145076e-01 -1.793585228860333780e+00
1.367391235767893842e-01 2.225948794590151825e-01 5.548841479809452994e-06 5.922490128565327812e-06 2.745161280921248004e+00 -3.706580370489572562e+00
4.190535791051482051e-02 1.444375905966920753e-04 2.244502189020330636e-04 3.161505562534502704e-04 9.994127101683774050e-01 -1.998631449471815813e+00
2.083610162667863530e-02 8.342975206052473391e-02 3.790541122889674121e-06 1.634664977623226487e-04 1.002092566476049829e+00 -2.001289735909404843e+00
4.581627622530794197e-02 6.739181145413750684e-01 1.581260792717525162e-05 1.277998786901157933e-05 -2.287527073996824090e+00 1.516093078752248324e+01
7.968732166726621990e-02 1.261320076844526739e+00 2.525911977755625096e-05 1.759737579358591390e-05 2.917610365461876243e-01 2.283460021117824645e+00
8.210924377391971840e-02 1.642070290022185353e-01 4.265646245306932102e-05 9.583773253966896850e-04 1.000031811630936573e+00 -1.953301690894830411e+00
1.011802172125618515e+00 5.880903978609040017e-01 3.707910114373769544e-06 7.589112098775191372e-06 -2.724820871503797481e-01 -7.252956967517136810e-01
2.070407805618473818e-02 1.655528404796053898e-01 7.251867345769802597e-06 5.238769538445464755e-04 9.999649826749384962e-01 -1.979452900063501275e+00
2.083557435718378162e-02 8.342811880601096186e-02 3.815603916111958021e-06 1.634665694023404599e-04 9.999671224852113571e-01 -1.999138765718212474e+00
